"File","LineNumber","Pattern","Text"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","530","fileOutPath","fileOutPathContents.add(reportUtil.makeGate(""="", 150));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","861","fileOutPath","fileOutPathContents = new ArrayList<>();"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","948","fileOutPath","fileOutPathContents.add(formatUtil.padX(sb.toString(), 170));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","954","fileOutPath","fileOutPathContents.add(formatUtil.padX(sb2.toString(), 170));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","967","fileOutPath","fileOutPathContents.add(formatUtil.padX(se.toString(), 170));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","979","fileOutPath","textFile.writeFileContent(fileOutPath, fileOutPathContents, CHARSET5);"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","980","fileOutPath","upload(fileOutPath, ""RPT"", """");"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","995","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb1.toString(), 78));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","997","fileOutPath","fileOutPathContents.add("""");"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","1019","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb2.toString(), 175));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","1029","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb3.toString(), 150));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","1031","fileOutPath","fileOutPathContents.add("""");"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","1048","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb4.toString(), 155));"
